"eng_size_l","fuelcomblit","co2_emit"
2,8.5,196
2.4,9.6,221
1.5,5.9,136
3.5,11.1,255
3.5,10.6,244
3.5,10,230
3.5,10.1,232
3.7,11.1,255
3.7,11.6,267
2.4,9.2,212
2.4,9.8,225
3.5,10.4,239
1.8,8.4,193
5.9,15.6,359
5.9,15.6,359
4.7,14.7,338
4.7,15.4,354
4.7,14.7,338
4.7,15.4,354
5.9,15.6,359
2,8.8,202
2,10,230
2,9.3,214
2,10,230
2,10,230
2,9.3,214
2,10.2,235
3,10.9,251
3,8.1,217
3,11.2,262
3,8.1,217
3,11.2,258
4,11.3,265
3,8.4,224
3,11.2,258
4,12.5,288
6.3,15.5,363
3,8.4,224
2,10.5,242
2,10.4,239
3,11.2,258
3,9,244
2,9.2,212
3,13.2,304
3,10.7,290
4.2,14.6,336
4.2,17.7,407
5.2,14.8,347
5.2,17.8,409
4.2,14.6,336
4.2,17.7,407
5.2,14.8,347
5.2,17.8,409
4.2,13.3,306
4.2,13.4,308
4,12.5,293
3,11.4,262
3,12.4,285
3,11.4,262
3,12.4,285
3,11.6,267
4,12.2,281
4,12.2,281
4,12.8,300
3,12.7,292
2,9.1,209
2,9.1,209
2,10.3,237
2,10.3,237
4,13.4,314
6,15.5,356
4,14.2,332
6,16.5,380
6,16.5,380
6,16.5,388
6.8,19,437
2,8.4,193
2,8.7,200
2,8.8,202
2,6.7,181
2,6.7,181
2,8.4,193
2,8.7,200
2,9.1,209
2,9.1,209
2,9.1,209
3,9.6,221
3,10,230
3,9.9,228
3,10.3,237
3,10.1,232
2,8.4,193
2,8.7,200
2,9.1,209
3,9.6,221
3,10,230
3,9.9,228
3,10.3,237
2,8.8,202
2,9.1,209
3,7.9,213
3,10.1,232
3,10.7,246
4.4,12.2,281
4.4,12.7,292
3,10.1,232
4.4,12.7,292
4.4,12.2,281
4.4,12.7,292
3,10.7,246
4.4,12.7,292
4.4,12.7,292
6,15.5,356
3,8.3,191
3,9.3,214
3,9.2,212
4.4,12.7,292
4.4,12.7,292
4.4,14.7,338
4.4,13.8,317
4.4,14.7,338
4.4,13.8,317
4.4,14.7,338
4.4,13.8,317
4.4,14.7,338
4.4,13.8,317
2,9.1,209
3,11.3,260
2,10,230
3,11,253
3,11.1,255
4.4,13.9,320
4.4,16.1,370
3,11.9,274
4.4,14.1,324
2,9.1,209
2,8.7,200
3,12.1,278
3,11,253
3,12.1,278
3.6,12.3,283
3.6,12.6,290
1.4,8.5,196
1.4,9.2,212
3.6,11.5,264
3.6,15.6,250
3.6,11.5,264
3.6,16.5,264
2.4,8.2,189
2,9.9,228
2,9.8,225
2,10.7,246
2.4,8.2,189
2,9.9,228
2,9.8,225
2.4,9.5,218
2,9.6,221
2,10.2,235
2.5,9,207
3.6,10.9,251
2,10.1,232
3.6,11.3,260
3.6,11.2,258
3.6,11.4,262
2,10.1,232
3.6,10.8,248
2,10.8,248
3.6,11.3,260
3.6,12.8,294
3,11,253
3.6,11.3,260
3,11.1,255
3.6,11.4,262
6.2,16.6,382
6.2,14.8,340
6.2,16.6,382
6.2,14.8,340
6.2,16.6,382
6.2,14.8,340
6.2,14.7,338
6.2,20.1,322
6.2,16.4,377
6.2,22.1,354
3.6,12.3,283
3.6,12.8,294
3.6,11.4,262
3.6,11.8,271
3.6,12.6,290
3.6,11.2,258
3.6,11.7,269
3.6,10.5,242
6.2,12.8,294
6.2,12.7,292
6.2,16.6,382
6.2,14.8,340
6.2,12,276
6.2,11.2,258
1.4,7.8,179
1.4,7.8,179
1.8,8.8,202
1.8,8.2,189
2,7.1,192
1.4,7.7,177
1.4,7.1,163
2.4,9.1,209
3.6,12,276
3.6,16.2,259
2.4,10,230
3.6,12.6,290
3.6,17,272
4.3,15.1,347
5.3,15.9,366
5.3,20.9,334
5.3,16.5,380
5.3,21.5,344
5.3,16.5,380
5.3,21.5,344
5.3,16.5,380
5.3,22.6,362
5.3,16.5,380
5.3,21.5,344
5.3,16.5,380
5.3,22.6,362
4.8,18,414
6,18.8,432
6,25.7,411
4.8,18.2,419
6,18.9,435
6,25.8,413
2.5,9.6,221
3.6,10.6,244
3.6,14.3,229
2.4,8.7,200
2,9.9,228
2.5,8,184
2.4,10.6,244
2.4,10.2,235
4.3,11.8,271
4.3,16.8,269
5.3,12.7,292
5.3,16.9,270
6.2,14.1,324
4.3,12.6,290
4.3,17.8,285
5.3,13,299
5.3,17.3,277
6.2,14.3,329
1.4,8,184
1.4,7.5,173
1.8,8.3,191
1.8,7.9,182
1.4,8.3,191
1.4,8,184
1.4,8,184
1.4,7.5,172
1.8,8.3,191
1.8,7.9,182
1.4,8.3,191
1.4,8,184
1.2,6.9,159
1.2,6.9,159
5.3,13.8,317
5.3,18.4,294
5.3,13.8,317
5.3,18.4,294
5.3,13.8,317
5.3,18.4,294
5.3,13.8,317
5.3,18.4,294
3.6,12.3,283
3.6,12.6,290
1.4,8.4,193
1.4,8.1,186
1.4,9,207
3.6,10.3,237
2.4,10.1,232
2.4,10.7,246
3.6,10.5,242
3.6,14.4,230
2.4,9.8,225
2.4,10,230
3.6,10.5,242
3.6,14.4,230
5.7,12.8,294
3.6,10.9,251
5.7,13.4,308
3.6,10.9,251
3.6,14.8,237
3.6,10.3,237
3.6,13.9,222
6.4,13.8,317
3.6,12,276
3.6,16.8,269
2.4,9.8,225
2.4,10,230
3.6,10.5,242
3.6,14.4,230
3.6,11.2,258
5.7,13.1,301
5.7,12.8,294
6.4,13.9,320
6.4,13.8,317
3.6,11.2,258
3.6,10.3,237
5.7,12.8,294
3.6,10.9,251
5.7,13.4,308
3.6,10.9,251
3.6,14.8,237
3.6,11.2,258
3.6,15.7,251
3.6,10.2,235
3.6,13.9,222
6.4,13.8,317
2,8.1,186
2.4,8.6,198
2.4,8.8,202
2,8.6,198
2,12.2,195
2.4,9.2,212
2.4,8.8,202
1.4,7.3,168
1.4,7.3,168
5.7,14.4,331
3.6,12.1,278
3.6,15.6,250
3.6,11.8,271
3.6,16.5,264
2.4,11.1,255
3.6,12.4,285
3.6,12,276
3.6,16.2,259
1.4,7.8,179
1.4,7.8,179
1.4,7.9,182
1.4,7.2,166
1.4,7.8,179
1.4,7.9,182
1.4,6.8,156
1.4,7.8,179
1.4,8.7,200
1.4,8.4,193
2,6,138
4.6,16.2,373
4.6,21.9,350
5.4,17.2,396
5.4,22.5,360
4.6,16.8,386
4.6,23,368
6.8,21.2,488
5.4,18.3,421
5.4,23.9,382
2,9.8,225
3.5,10.8,248
3.5,11.5,264
3.7,12.2,281
1.6,9.1,209
2,9.6,221
2.5,9.4,216
1.6,9.3,214
2,10,230
5.4,16,368
5.4,21.6,346
2,10.2,235
3.5,13,299
3.5,11.9,274
3.5,15.9,254
3.5,12.5,288
3.5,16.7,267
3.5,12.7,292
3.5,12.8,294
6.2,15.9,366
3.5,13.8,317
3.5,13.4,308
6.2,17.5,402
3.7,12.3,283
3.7,16.5,264
3.7,12.3,283
3.7,16.5,264
5,14.6,336
5,19.7,315
5,14.6,336
5,19.7,315
3.7,13.4,308
3.7,18,288
3.7,13.4,308
3.7,18,288
5,14.9,343
5,20,320
5,14.8,340
5,19.9,318
6.2,18,414
1.6,7.6,175
1.6,7.6,175
1,6.6,152
1.6,7,161
1.6,8,184
3.5,11.5,264
3.5,12.1,278
3.5,12.8,294
2,8.9,205
2,7.7,177
2,10.3,165
2,7.8,179
2,10.3,165
2,8,184
2,10.6,170
2,7.2,166
2,10.1,162
1.5,8.5,196
1.6,8.1,186
2,9,207
2.5,8.9,205
1.5,8.1,186
2,9.4,216
2,5.5,126
3.7,10.2,235
3.7,10.6,244
5,11.5,264
5,12.7,292
5.8,13.2,304
3.7,10.6,244
2,9.1,209
3.5,11.8,271
3.5,10.3,237
3.5,14.3,229
3.5,11.2,258
3.5,15.7,251
1.6,9.5,218
2.5,9.9,228
1.6,10.1,232
2.5,10.4,239
3.6,12.3,283
3.6,12.9,297
4.3,15.1,347
5.3,15.9,366
5.3,20.9,334
5.3,16.5,380
5.3,21.5,344
5.3,16.5,380
5.3,21.5,344
5.3,16.5,380
5.3,22.6,362
5.3,16.5,380
5.3,21.5,344
5.3,16.5,380
5.3,22.6,362
4.8,18,414
6,18.8,432
6,25.7,411
4.8,18.2,419
6,18.9,435
6,25.8,413
4.3,11.8,271
4.3,16.8,269
5.3,12.7,292
5.3,16.9,270
6.2,14.1,324
4.3,12.6,290
4.3,17.8,285
5.3,13,299
5.3,17.3,277
6.2,14.3,329
2.4,9.1,209
3.6,12,276
3.6,16.2,259
2.4,10,230
3.6,12.6,290
3.6,17,272
5.3,13.8,317
5.3,18.4,294
5.3,13.8,317
5.3,18.4,294
6.2,14.7,338
6.2,20.1,322
6.2,16.4,377
6.2,22.1,354
5.3,13.8,317
5.3,18.4,294
5.3,13.8,317
5.3,18.4,294
2.4,7.9,182
2.4,8.1,186
2.4,8.7,200
3.5,9.1,209
3.5,9.6,221
3.5,10.9,251
2,4.8,110
1.8,7,161
1.8,7.2,166
1.8,7.6,175
3.5,10.7,246
2.4,9.1,209
2.4,9.4,216
1.5,6.3,145
1.5,6.9,159
1.5,7.5,172
1.5,7.7,177
3.5,10.6,244
3.5,11.5,265
3.5,12,276
3.5,13.4,308
1.6,7.7,177
1.6,7.7,177
2,8.6,198
2,8.5,196
5,13.2,304
3.8,11.1,255
3.3,11.2,258
3.3,11.6,267
2.4,10.3,237
2,11.5,264
2.4,11.1,255
2,9.6,221
2.4,8.5,196
2.4,6.2,143
2.4,6.3,145
2,9.3,214
2,10.1,232
2.4,10,230
2,10.5,242
2.4,10.6,244
1.6,7.7,177
1.6,8,184
1.6,8.8,202
1.6,8.5,196
3.7,10.2,235
3.7,10.8,248
3.5,7.5,172
3.5,8.2,189
3.7,11.5,265
3.7,11.7,269
3.7,12.3,283
3.7,11.1,255
3.7,11.6,267
3.7,11,253
5.6,12.3,283
3.7,11.6,267
5.6,12.8,294
3.5,7.6,175
3.7,11.8,271
3.5,10.6,244
3.5,11,253
2.5,8.5,196
3.7,12.8,294
5,14.5,334
5.6,15,345
3,10.3,237
3,10.6,244
5,12.8,294
2,10.5,242
3,12.2,281
5,13.3,306
5,18.1,290
5,13.3,306
3,12.4,285
5,13.3,306
5,17.5,280
3,12.4,285
5,13.3,306
5,17.5,280
5,13.3,306
5,13.3,306
5,13.1,301
5,12.6,290
5,13.7,315
5,13.5,310
5,13.7,315
5,13.5,310
2.4,9.5,218
3.2,10.5,242
2.4,10,230
3.2,10.8,248
2.4,10.1,232
3.2,11,253
2.4,10.9,251
3.2,11.6,267
2,9.9,228
2,9.8,225
2,9.1,209
2.4,9.8,225
2.4,9.4,216
2.4,10.2,235
2.4,9.4,216
2.4,11.1,255
5.7,14.8,340
3,9.9,267
3.6,12.1,278
3.6,15.6,250
6.4,15.8,363
2,9.9,228
2,9.8,225
2,9.1,209
2.4,9.8,225
2.4,9.4,216
2.4,10.2,235
2.4,9.4,216
2.4,11.1,255
3.6,12.8,294
3.6,12.8,294
3.6,13.4,308
3.6,13.4,308
3.3,10.9,251
1.8,8.3,191
1.8,8,184
2,8.4,193
2,8.4,193
1.6,9.7,223
1.6,9.8,225
2,8.4,193
2,8.5,196
1.6,9.4,216
1.6,9.6,221
2,8.4,193
2,8.6,198
2,9.9,228
2.4,8.7,200
2.4,6.2,143
2.4,6.4,147
1.6,7.6,175
1.6,7.7,177
1.6,7.6,175
2,9.2,212
2,9.3,214
3.5,12,276
2.4,10.3,237
3.3,11.4,262
2.4,11,253
3.3,11.8,271
1.6,8.9,205
1.6,9,207
2,9.1,209
2,8.8,202
2.4,10,230
2.4,11.3,260
2,11.4,262
2.4,10.7,246
6.5,18.3,421
5.2,15.7,361
5.2,17.4,400
2,11.9,274
3,14.5,334
2,9.8,225
2,9.8,225
5,15.4,354
5,15.1,347
5,21.4,342
3,12.4,285
3,12.4,285
3,17.4,278
5,15,345
5,14.7,338
5,20.7,331
3,12.3,283
3,12.3,283
3,17.3,277
5,15.4,354
5,15.1,347
5,21.4,342
1.8,5.6,129
2.5,6,138
3.5,9.6,221
3.5,10.4,239
3.5,11,253
3.5,7.6,175
4.6,13.9,320
2.5,9.7,223
2.5,10.4,239
2.5,9.7,223
3.5,10.6,244
3.5,11,253
3.5,10.6,244
5,12.6,290
4.6,12.3,283
4.6,12.9,297
4.6,12.9,297
5,11.4,262
5.7,16.5,380
3.5,11.7,269
3.5,11.1,255
3.5,8.2,189
3.5,11.8,271
3.7,11.3,260
3.5,12.8,294
2,10.2,235
3.7,12.2,281
3.7,12.2,281
2,9,207
3.7,11.4,262
2,6.3,145
5.4,16,368
5.4,21.6,346
3,12.7,292
3,12.7,292
4.7,15.1,347
4.7,15.3,352
3.8,14.5,334
3,13.1,301
2,8.2,189
2,8,184
2.5,8.6,198
2,8.5,196
2.5,8.9,205
3.7,12.3,283
3.7,12.6,290
1.5,7.7,177
1.5,7.4,170
2,6.9,159
2,7,161
2.5,7.4,170
2.5,7.3,168
2,7,161
2,7.1,163
2,7.2,166
2.5,7.7,177
2.5,7.3,168
2,7.2,166
2.5,9.7,223
2.5,9.8,225
2.5,7.6,175
2.5,8.1,186
2.5,7.3,168
2,10.2,235
2,9.6,221
2,9.9,228
2,8,184
1.8,9.4,216
1.8,9.4,216
3.5,10.5,242
3.5,14,224
3.5,10.5,242
3.5,10.4,239
3.5,10.6,244
3.5,10.5,242
6.2,15.1,347
6.2,15.3,352
4.7,13.2,304
5.5,13.4,308
2,7.8,179
2,9.2,212
4.7,11.5,264
5.5,13.1,301
5.5,13.1,301
2.1,7.2,194
3.5,10.2,235
3.5,10,230
3.5,10.4,239
3.5,10.5,242
3.5,10.4,239
3.5,10.2,235
3.5,8.8,202
4.7,11.6,267
4.7,11.7,269
4.7,11.4,262
5.5,12.9,297
5.5,13.5,310
5.5,12.9,297
5.5,13.5,310
5.5,18.2,419
5.5,17.7,407
3,12,324
4.7,15.2,350
4.7,15.6,359
5.5,15.8,363
2.1,8.5,230
3.5,11.3,260
3.5,12.1,278
3.5,16,256
3,10.3,278
4.7,14.2,327
5.5,15.5,356
4.7,12.1,278
4.7,12,276
5.5,13.2,304
4.7,11.7,269
5.5,12.7,292
6,14.2,327
1.8,8.9,205
1.8,9,207
3.5,9.8,225
5.5,10.7,246
6.2,16.5,380
6.2,15.7,361
6.2,15.7,361
1.6,7.8,179
1.6,7.8,179
1.6,7.8,179
1.6,7.8,179
1.6,8.7,200
1.6,7.8,179
1.6,7.6,175
1.6,7.3,168
1.6,8.7,200
1.6,7.8,179
1.6,7.8,179
1.6,7.8,179
1.6,8.3,191
1.6,8,184
1.6,8.3,191
1.6,8,184
1.6,9,207
1.6,8.5,196
1.6,8.3,191
1.6,8,184
1.6,9,207
1.6,8.5,196
1.6,8.3,191
1.6,8,184
1.6,8.3,191
1.6,8,184
1.6,8.3,191
1.6,8,184
1.6,9,207
1.6,8.5,196
1.6,8.3,191
1.6,8,184
1.6,9,207
1.6,8.5,196
1.6,8.3,191
1.6,8,184
2,8.2,189
2,8.3,191
2.4,9.5,218
2,12.5,288
2,12.3,283
2,11.6,267
2,8.6,198
2,8.6,198
1.2,6,138
1.2,6.4,147
2.4,8.6,198
2.4,9.1,209
3,10.2,235
2,8.7,200
2,8.8,202
2,9,207
3.7,11,253
3.7,11.5,264
3.7,11.4,262
3.7,11.7,269
2.5,7.6,175
3.5,9.3,214
5.6,16.5,380
2.5,12.3,283
2.5,11.3,260
4,12.7,292
4,13.7,315
4,13.1,301
3.8,12.9,297
1.6,8.1,186
1.6,8.6,198
1.6,8.7,200
3.5,10.9,251
3.5,11.8,271
2,9.3,214
3.5,10.6,244
3.5,11,253
2.5,8.8,202
3.5,11.1,255
2.5,8.3,191
2.5,8.6,198
1.8,7,161
1.8,7.8,179
5.6,15.6,359
5.6,17.3,398
1.6,6.6,152
1.6,7.7,177
4,14.2,327
4,13.7,315
3.4,10.1,232
3.4,10.7,246
3.4,10.3,237
3.4,10.7,246
3.4,10.5,242
3.4,11,253
3.8,10.8,248
3.8,11,253
3.8,11,253
3.8,11.2,258
3.4,10.1,232
3.4,10.7,246
3.8,10.6,244
3.8,10.8,248
3.8,10.7,246
3.8,10.9,251
3.8,14,322
3.8,11.9,274
3.8,11.9,274
3.8,11.9,274
3.8,11.9,274
2.7,9.2,212
2.7,9.9,228
3.4,9.8,225
3.4,10.4,239
3.6,12.4,290
3.6,13.6,313
3,10.2,277
4.8,14.4,338
4.8,13.2,310
3,10.9,251
4.8,13.9,326
4.8,15.2,358
2.7,9.2,212
2.7,9.9,228
3.4,9.8,225
3.4,10.4,239
3.6,10.9,251
3.6,11.1,255
3,11.3,260
3,11.5,264
4.8,12.7,292
3,11.3,260
4.8,12.8,294
4.8,12.9,297
5.7,14.8,340
5.7,13.6,313
5.7,15.4,354
5.7,14.1,324
3,10.6,286
3.6,12.6,290
3.6,17.8,285
3,10.2,275
3.6,11.9,274
3.6,16.8,269
3.6,11.3,260
3.6,11.4,262
3.6,15.9,254
6.6,16,368
6.6,16,368
6.7,17.1,393
6.7,17.1,393
6.7,17.1,393
6.7,17.1,393
6.6,15.6,359
2,8.4,193
2,9.5,218
1.3,6.2,143
2.5,9,207
2.5,9,207
2.4,9.9,228
2.4,9.9,228
1.8,8,184
1.8,7.9,182
1,6.4,147
1,6.4,147
8.4,16.9,389
8.4,16.9,389
2,8.5,196
2,9.6,221
2,9.5,218
2.5,8.6,198
2.5,9.7,223
2,7.8,179
2,8.5,196
2.5,11.2,258
2.5,12.5,288
2,7.8,179
2,8.5,196
2.5,11.2,258
2.5,12.5,288
2.5,8.6,198
2.5,9.9,228
3.6,11.6,267
2.5,9,207
2.5,9.8,225
3.6,11.7,269
3.6,13.1,301
2,8.5,196
2,9.2,212
2,7.7,177
4,12.9,297
4,12.9,297
3.5,9.6,221
2.5,8.2,189
3.5,9.6,221
2.5,5.7,131
2.5,6,138
1.8,7.7,177
1.8,7.3,168
1.8,7.1,163
1.8,7.4,170
1.8,6.8,156
1.8,6.9,159
1.8,8.5,196
1.8,8.2,189
4,12.9,297
4,13.9,320
2.7,10.3,237
3.5,11.2,258
3.5,11.5,264
3.5,8.3,191
3.5,8.2,189
1.8,4.8,110
1.5,4.7,108
1.8,5.5,126
2.5,8.9,205
2.5,9.4,216
2.5,9.5,218
5.7,16.7,384
3.5,11.3,260
3.5,12.4,285
2.7,10.9,251
2.7,10.2,235
4,13.1,301
2.7,11.9,274
2.7,11.8,271
4,13.3,306
4,14,322
4,13.5,310
4.6,14.3,329
5.7,15.5,356
4.6,15.1,347
5.7,16.2,373
2.7,10,230
3.5,11,253
2.7,10.2,235
3.5,11.3,260
1.5,7.3,168
1.5,7.1,163
1.8,8.5,196
1.8,8.7,200
2,9.1,209
2,9.4,216
2.5,9.8,225
2.5,9.6,221
2,7.4,200
2,7.7,208
1.8,8.7,200
2,9.3,214
2,9.4,216
2.5,10.1,232
2,9.7,223
2,9.8,225
3.6,12.3,283
2,9.6,221
2.5,9.5,218
2.5,9.4,216
2,7.4,198
2,7.3,196
1.8,8.2,189
1.8,8.2,189
2,9.4,216
2,9,207
2,7.4,198
2,7.3,196
2,9,207
2,9.2,212
1.4,5.4,124
1.8,8.6,198
1.8,8.6,198
2.5,9.7,223
2.5,9.8,225
3.6,10.8,248
2,6.9,180
3.6,12.1,278
2,10.7,246
2,11.6,267
2,10.7,246
3.6,12.6,296
3,10.2,277
2.5,9.7,223
2.5,10.1,232
3,11.5,264
3.2,10.2,235
3,11.5,264
3.2,11.2,258
3,11.8,271
3.2,11.5,264
3,11.8,271
3.2,11.3,260
3.2,12.8,294
2,8.3,191
2.4,9.3,214
1.5,6.1,140
3.5,11.1,255
3.5,10.6,244
3.5,10,230
3.5,7.7,177
2.4,8.3,191
3.5,9.2,212
3.5,9.6,221
1.8,8.4,193
5.9,15.6,359
6,14.2,327
4.7,14.7,338
4.7,15.5,356
4.7,14.7,338
4.7,15.5,356
6,16.5,379
4.7,14.7,338
4.7,15.5,356
6,14.8,340
1.8,8.7,200
2,6.5,177
2,8.6,198
2,8.9,205
2,8.9,205
2,9.6,221
2,9.1,209
2,9.9,228
2,9.6,221
2,9.1,209
2,9.8,225
2,10.3,237
3,10.9,251
3,8.1,217
3,11,253
3,8.1,217
3,10.5,242
4,10.7,246
3,8.4,224
3,10.5,242
4,11,258
6.3,14.6,344
3,8.4,224
2,10.3,237
2,10.3,237
2,10.4,239
3,11.4,262
3,9,244
2,8.9,205
3,13.3,306
3,10.7,290
4.2,14.2,327
4.2,16.6,382
5.2,14.8,347
5.2,16.4,377
4.2,14.2,327
4.2,16.6,382
5.2,14.8,347
5.2,16.4,377
4.2,12.8,294
4.2,12.9,297
4,13.3,313
2,9,207
3,11,253
3,11.7,269
3,11,253
3,11.7,269
3,11.4,262
4,11.7,269
4,11.7,269
4,11.9,281
3,12.2,281
2,9.1,209
2,9.2,212
2,10.2,235
2,10.2,235
4,13.1,307
6,15.4,354
4,14.4,337
6,16,368
4,14.2,327
4,14.2,334
6,16.5,388
6.8,18.2,419
2,8.9,205
2,8.4,193
2,9,207
2,9.1,209
2,8.7,200
2,8.4,193
2,9,207
2,8.7,200
2,6.7,181
2,6.7,181
2,8.4,193
2,9,207
2,9.1,209
2,9.1,209
2,9.1,209
3,9.6,221
3,9.8,225
3,10,230
3,10.3,237
3,10,230
2,8.9,205
2,8.4,193
2,9,207
2,8.9,205
2,9,207
2,9.6,221
2,9.1,209
2,9.1,209
3,9.9,228
3,9.6,221
3,9.8,225
3,9.6,221
3,10.3,237
3,10,230
3,10.3,237
3,10,230
2,8.9,205
2,9.1,209
3,7.9,213
3,10.3,237
3,11,253
4.4,12.3,283
4.4,12.8,294
3,10.3,237
3,10.3,237
4.4,12.8,294
4.4,12.3,283
4.4,12.8,294
3,8.8,238
3,10.3,237
4.4,12.8,294
4.4,12.8,294
6,15.5,356
3,8.7,200
3,9.4,216
3,9.3,214
4.4,12.8,294
4.4,12.8,294
4.4,12.8,294
3,10.2,235
3,10.8,248
3,10.2,235
3,10.4,239
