"eng_size_l","fuelcomblit","co2_emit"
3,10,230
3,12.1,278
3,11.6,267
3,12.1,278
3,11.8,271
3,12.1,278
3,11.6,267
4.4,14.7,338
4.4,13.7,315
4.4,14.7,338
4.4,13.7,315
4.4,14.7,338
4.4,13.7,315
4.4,14.7,338
4.4,13.7,315
2,9.1,209
3,11.2,258
2,7.9,213
2,9.9,228
3,10.9,251
2,10.2,235
3,10.9,251
4.4,14.6,336
3,8.7,235
3,11.1,255
4.4,13.8,317
4.4,14.6,336
3,11.1,255
4.4,13.8,317
2,9.1,209
2,9,207
3,12.1,278
3,11,253
3,12.1,278
3.6,12.3,283
3.6,12.6,290
1.4,8.5,196
1.4,9.2,212
3.6,11.4,262
3.6,15.8,253
3.6,11.7,269
3.6,15.9,254
2.4,8.2,189
2,9.8,225
2,9.8,225
2,10.7,246
2.4,8.2,189
2,9.8,225
2,9.8,225
2.4,9.4,216
2,9.7,223
2,10.3,237
2.5,9.3,214
3.6,10.8,248
2,10.2,235
3.6,11,253
2,9.9,228
3.6,10.7,246
2,10.6,244
3.6,11,253
3.6,12.7,292
6.2,14,322
6.2,13.8,317
6.2,14.5,334
6.2,14.3,329
3.6,12.3,283
3.6,12.8,294
3.6,11.3,260
3.6,11.6,267
3.6,12.6,290
3.6,11.3,260
3.6,11.5,265
6.2,12.8,294
6.2,12.7,292
3.6,10.5,242
6.2,15.5,357
6.2,16.8,386
6.2,14.7,338
2,9.4,216
2.5,10.5,242
2.5,10.8,248
3.6,11.3,260
2.5,11.3,260
3.6,11.8,271
6.2,11.7,269
6.2,11.2,258
6.2,14.3,329
6.2,13.4,308
1.4,7.8,179
1.4,7.8,179
1.8,8.8,202
1.8,8.1,186
2,7.1,192
1.4,7.7,177
1.4,7.1,163
2.4,9.1,209
2.4,9.1,209
2.4,13.4,214
3.6,12.1,278
2.4,10,230
2.4,10,230
2.4,14.2,227
3.6,12.6,290
4.8,18,414
6,18.8,432
6,18.8,432
6,25.9,414
4.8,18.1,416
6,19,437
6,19,437
6,26.1,418
2.5,9.2,212
3.6,10.6,244
3.6,14.5,232
2,9.8,225
2.5,8,184
4.3,11.9,274
4.3,17.1,274
5.3,12.7,292
5.3,17.2,275
6.2,14,322
4.3,12.5,288
4.3,18,288
5.3,13,299
5.3,17.5,280
6.2,14.2,327
1.4,8,184
1.4,7.5,173
1.8,8.3,191
1.8,8,184
1.4,8.3,191
1.4,8,184
1.4,8,184
1.4,7.5,173
1.8,8.3,191
1.8,8,184
1.4,8.3,191
1.4,8,184
1.2,7,161
1.2,6.8,156
5.3,12.7,292
5.3,17.2,275
5.3,13.3,306
5.3,19.1,306
5.3,12.7,292
5.3,17.2,275
5.3,13,299
5.3,17.6,282
3.6,12.3,283
3.6,12.6,290
1.4,8.2,189
1.4,8.1,186
1.4,8.7,200
2.4,8.5,196
2.4,8.5,196
2.4,11.3,181
3.6,10.2,235
3.6,10.2,235
3.6,13.6,218
3.6,10.7,246
3.6,10.7,246
3.6,14.1,226
3.6,10.3,237
3.6,10.3,237
3.6,13.9,222
5.7,12.3,283
3.6,10.9,251
3.6,10.9,251
3.6,14.8,237
3.6,12,276
3.6,16.8,269
3.6,10.3,237
5.7,13.1,301
6.4,13.9,320
5.7,12.3,283
6.4,12.9,297
6.4,13.9,320
6.4,12.9,297
6.2,14.7,338
6.2,15.1,347
3.6,11.5,264
3.6,11.5,264
3.6,15.9,254
3.6,10.3,237
3.6,10.3,237
3.6,13.9,222
5.7,12.9,297
5.7,12.3,283
3.6,10.9,251
3.6,10.9,251
3.6,14.8,237
5.7,13.4,308
6.4,12.9,297
6.2,14.7,338
2,8.1,186
2,8.6,198
2,11.5,184
2.4,8.6,198
2.4,8.8,202
2.4,9.2,212
2.4,8.8,202
1.4,7.3,168
1.4,7.3,168
3.6,12.1,278
3.6,15.6,250
5.7,14.7,338
3.6,11.8,271
3.6,16.4,262
2.4,11.1,255
3.6,12.1,278
3.6,16.2,259
3.6,12.4,285
8.4,15.8,363
1.4,7.9,182
1.4,7.2,166
1.4,7.9,182
1.4,6.8,156
1.4,8.6,198
1.4,7.8,179
1.4,8.6,198
1.4,7.8,179
1.4,8.6,198
1.4,7.8,179
1.4,9.4,216
1.4,8.7,200
1.4,8.3,191
2,6,138
2,9.8,225
2,9.8,225
3.5,11.3,260
2,10.3,237
3.5,11.8,271
2.7,11.9,274
1.6,9,207
2,9.6,221
2.5,9.5,218
1.6,9.4,216
2,10.1,232
3.5,14.2,327
3.5,14.4,331
2,10.4,239
3.5,11.9,274
3.5,16.1,258
3.5,13,299
3.5,12.5,288
3.5,16.9,270
2.7,10.8,248
3.5,12,276
3.5,11.5,264
3.5,15.7,251
5,13.3,306
5,17.9,286
2.7,12,276
3.5,12.5,288
3.5,12.4,285
3.5,16.8,269
5,13.9,320
5,18.7,299
1.6,7.6,175
1.6,7.6,175
1,6.6,152
1.6,7.4,170
1.6,8,184
3.5,11.6,267
3.5,12.1,278
3.5,12.8,294
1,7.1,163
2,8.9,205
2,7.7,177
2,10.4,166
2,7.8,179
2,10.6,170
2,8.1,186
2,10.9,174
1.5,8.4,193
1.5,8,184
2,8.9,205
2.5,8.9,205
2,9.3,214
2,5.5,126
2.3,9.4,216
2.3,9.2,212
3.7,10.7,246
3.7,11.2,258
5,12.4,285
5,12.5,288
2.3,9.9,228
5,13,299
3.5,14.7,338
3.7,14.8,340
3.7,19.7,315
2,9.1,209
3.5,11.9,274
3.5,10.4,239
3.5,14.7,235
3.5,11.3,260
3.5,16,256
1.6,9.4,216
2.5,9.9,228
2.5,10.2,235
2.5,10.4,239
3.6,12.3,283
3.6,12.6,290
2.5,10.5,242
2.5,10.8,248
3.6,11.3,260
2.5,11.3,260
3.6,11.8,271
4.8,18,414
6,18.8,432
6,18.8,432
6,25.9,414
4.8,18.1,416
6,19,437
6,19,437
6,26.1,418
4.3,11.9,274
4.3,17.1,274
5.3,12.7,292
5.3,17.2,275
6.2,14,322
4.3,12.5,288
4.3,18,288
5.3,13,299
5.3,17.5,280
6.2,14.2,327
2.4,9.1,209
2.4,9.1,209
2.4,13.4,214
3.6,12.1,278
2.4,10,230
3.6,12.6,290
5.3,12.7,292
5.3,17.2,275
5.3,13,299
5.3,17.6,282
6.2,14,322
6.2,13.8,317
5.3,12.7,292
5.3,17.2,275
5.3,13.3,306
5.3,19.1,306
6.2,14.5,334
6.2,14.3,329
2.4,7.8,179
2.4,8,184
2.4,8.7,200
3.5,9.1,209
3.5,9.5,219
3.5,10.9,251
2,5,115
1.8,7.1,163
1.8,7.2,166
1.8,7.7,177
2.4,9.4,216
1.5,5.2,120
2.4,7.8,179
2.4,8.3,191
1.5,6.3,145
1.5,6.9,159
1.5,6.4,147
1.5,6.8,156
1.5,7.3,168
3.5,10.6,244
3.5,11.5,264
3.5,12,276
1.6,7.7,177
1.6,7.6,175
1.8,7.5,172
1.8,7.7,177
2,8.3,191
2,8.5,196
2,8.3,191
2,8.3,191
2,8.6,198
2,8.5,196
5,13.3,306
3.8,12.1,278
5,14.2,327
3.8,12.3,283
3.8,12.4,285
3.3,11.3,260
3.3,11.5,264
2.4,10.3,237
2,11.5,264
2.4,11.1,255
3.3,12.5,287
2,9.1,209
2.4,8.4,193
2.4,8.4,193
2.4,6.3,145
2.4,6.3,145
2,9.3,214
2,10.1,232
2.4,10,230
2,10.4,239
2.4,10.6,244
1.6,7.7,177
1.6,8,184
1.6,8.8,202
1.6,8.5,196
3.7,10.3,237
3.7,10.8,248
3.5,7.5,172
3.5,8.2,189
3.7,10.7,246
3.7,11.6,267
3.7,11.5,264
3.7,11.7,269
3.7,12.3,283
3.7,11,253
5.6,12.4,285
3.7,11.6,267
5.6,12.9,297
3.5,7.5,172
3.7,11.9,274
3.5,10.1,232
3.5,10.7,246
2.5,8.7,200
3.7,12.8,294
5.6,14.7,338
3,10.3,237
3,10.3,237
3,10.6,244
3,10.6,244
5,12.8,294
5,12.8,294
2,10.5,242
3,11.6,267
5,13.2,304
5,18.1,290
5,13.2,304
3,12.4,285
5,13.3,306
5,17.5,280
3,12.5,288
5,13.3,306
5,17.5,280
5,13.3,306
5,13.3,306
5,13.6,313
5,13.4,308
5,13.6,313
5,13.4,308
2.4,9.5,218
2.4,9.5,218
2.4,12.9,206
3.2,9.9,228
2.4,10,230
2.4,10,230
2.4,13.7,219
3.2,10.2,235
2.4,10.1,232
3.2,10.9,251
2.4,10.9,251
3.2,10.8,248
2,9.9,228
2,9.2,212
2.4,10,230
2.4,9.3,214
2.4,10.2,235
2.4,9.7,223
2.4,11.1,255
3,9.9,267
3.6,12.1,278
3.6,15.6,250
5.7,14.7,338
6.4,15.8,363
2,9.9,228
2,9.2,212
2.4,10,230
2.4,9.3,214
2.4,10.2,235
2.4,9.7,223
2.4,11.1,255
1.4,8.8,202
2.4,9.4,216
2.4,12.2,195
1.4,8.8,202
2.4,9.8,225
3.6,12.8,294
3.6,12.8,294
3.6,13.4,308
3.6,13.4,308
3.3,10.7,246
1.8,7.6,175
1.8,7.9,182
2,8.3,191
2,8.5,196
1.6,9.7,223
1.6,9.8,225
2,8.5,196
2,8.4,193
1.6,9.4,216
1.6,9.6,221
2,8.6,198
2,8.8,202
3.8,11.3,260
5,13.3,306
2,9.9,228
2.4,8.7,200
2.4,6.3,145
2.4,6.4,147
1.6,7.7,177
1.6,7.7,177
1.6,7.6,175
2,9.3,214
2,9.3,214
3.3,11.6,267
3.3,11.4,262
3.3,12.5,288
2.4,10.4,239
3.3,11.1,255
2.4,10.9,251
3.3,11.8,271
1.6,8.9,205
1.6,9,207
2,9,207
2,8.8,202
2.4,10,230
2.4,11.3,260
2,11.3,260
2.4,10.7,246
6.5,17.9,412
6.5,19.7,453
5.2,14.5,334
6.5,18.4,423
2,11.9,274
3,14.3,329
3,12.3,283
5,15.1,347
5,21.4,342
5,15.1,347
5,21.4,342
2,9.7,223
2,9.7,223
3,12.4,285
5,14.7,338
5,20.7,331
1.8,5.7,131
2.5,5.9,136
3.5,9.6,221
3.5,10.6,244
3.5,11,253
3.5,7.5,172
4.6,13.9,320
2.5,9.6,221
2.5,10.4,239
2.5,9.6,221
3.5,10.6,244
3.5,11,253
3.5,10.6,244
4.6,12.3,283
4.6,12.9,297
4.6,12.9,297
5,11.5,264
5.7,16.6,382
2,9.6,221
2,9.9,228
2.5,7.4,170
3.5,10.6,244
3.5,11,253
5,12.6,290
3.5,11.7,269
3.5,11.1,255
3.5,8.2,189
2,10.9,251
2.3,11.2,258
3.5,11.9,274
3.7,11.2,258
3.5,12.8,294
2,10.1,232
3.7,12.2,281
3.7,12.1,278
2,8.9,205
3.7,11.3,260
2,5.8,133
3.5,14.2,327
3.5,14.4,331
3,12.7,292
3,12.8,294
4.7,15.1,347
4.7,15.2,350
3.8,14.5,334
3,13,299
2,8.2,189
2,8,184
2.5,8.6,198
2,8.5,196
2.5,9,207
3.7,12.3,283
3.7,12.7,292
2,6.9,159
2,7,161
2.5,7.4,170
2.5,7.2,166
2.5,8,184
2,7,161
2,7.1,163
2.5,7.7,177
2.5,7.2,166
2.5,8.1,186
2.5,9.6,221
2.5,9.8,225
2.5,7.6,175
2.5,8.1,186
2.5,7.3,168
2,10.1,232
2,9.6,221
2,9.9,228
2,8,184
2,8.9,205
1.8,9.4,216
2,9,207
3.5,10.6,244
3.5,10.5,242
3,9.9,228
6.2,15.4,354
2,8.1,186
2,8.8,202
2,9.1,209
3,10.5,242
4.7,12.5,288
5.5,13.1,301
2.1,7.4,200
3.5,10.2,235
3,10.4,239
3.5,10.8,248
3.5,10,230
3.5,10.2,235
4.7,11.4,262
4.7,11.7,269
4.7,11.4,262
5.5,13.3,306
5.5,13.3,306
5.5,18.2,419
5.5,18.5,426
3,12,324
3,14,322
4.7,15.6,359
5.5,16.3,375
2,8.7,200
2,9.4,216
2.1,8.5,230
3.5,11.2,258
3,10.3,278
3,12,276
4.7,14.2,327
5.5,15.6,359
4.7,10.8,248
4.7,12.3,283
4.7,12.5,288
4.7,12.2,281
6,14.9,343
5.5,13.2,304
5.5,13.2,304
6,15.5,357
6,15,345
4.7,11.9,274
5.5,12.4,285
6,14.2,327
1.8,9,207
1.8,9,207
3.5,9.8,225
5.5,10.6,244
6.2,15.6,359
6.2,15.6,359
1.5,7.5,172
1.5,7.1,163
1.5,7.5,172
1.5,7.2,166
1.6,7.7,177
1.6,7.5,172
1.6,8.7,200
1.6,7.5,172
1.6,7.6,175
1.6,7.3,168
1.6,8.7,200
1.6,7.5,172
1.6,7.7,177
1.6,7.5,172
2,8.2,189
2,8.6,198
2,8.2,189
2,8.6,198
1.6,8.1,186
1.6,8.1,186
1.6,9,207
1.6,8.7,200
1.6,8.1,186
1.6,8.1,186
1.6,9,207
1.6,8.7,200
1.6,8.1,186
1.6,8.1,186
2,8.4,193
2,9.2,212
1.6,8.1,186
1.6,8.1,186
1.6,9,207
1.6,8.7,200
1.6,8.1,186
1.6,8.1,186
1.6,9,207
1.6,8.7,200
1.6,8.1,186
1.6,8.1,186
2,8.2,189
2,8.4,193
2.4,9.5,219
2,12.5,288
2,12.3,283
2,11.6,267
2,8.6,198
2,8.6,198
1.2,5.9,136
1.2,6.4,147
2.4,8.6,198
2.4,9.1,209
3,10.1,232
2,8.4,193
2,8.8,202
2,8.8,202
2.4,9.6,221
3.7,11.1,255
3.7,11.5,264
3.7,11.5,264
3.7,11.8,271
2.5,7.6,175
3.5,9,207
5.6,16.6,382
2.5,12.3,283
2.5,11.3,260
4,12.7,292
4,13.7,315
4,13.3,306
3.8,12.6,290
1.6,7.9,182
1.6,7.7,177
1.6,8.2,189
1.6,8.3,191
1.6,8.8,202
1.6,7.8,179
1.6,7.7,177
3.5,9.8,225
3.5,9.9,228
2,9.4,216
3.5,10.4,239
3.5,10.7,246
3.5,11,253
2.5,8.8,202
3.5,10.5,242
2.5,8.3,191
2.5,8.5,196
5.6,16.1,370
5.6,17.2,396
1.8,7.2,166
1.8,7.9,182
1.6,6.8,156
1.6,7.7,177
4,14.2,327
4,14.4,331
3.4,10.1,232
3.4,10.6,244
3.4,10.1,232
3.4,10.7,246
3.4,10.2,235
3.4,10.7,246
3.4,10.5,242
3.4,10.9,251
3.8,11.1,255
3.8,11.3,260
3.8,11.4,262
3.8,11.6,267
3.8,10.7,246
3.8,11,253
3.8,11,253
3.8,11.2,258
3.8,11,253
3.8,11.2,258
3.8,11.1,255
3.8,11.6,267
3.8,10.5,242
3.8,10.7,246
3.8,10.6,244
3.8,10.9,251
3.8,14,322
3.4,10.8,248
3.4,11.1,255
3.8,11.2,258
3.8,11.4,262
3.8,11.9,274
3.8,11.9,274
3.8,11.9,274
3.8,11.9,274
2.7,9.2,212
2.7,9.9,228
3.4,9.5,218
3.4,10.7,246
3.4,9.8,225
3.4,10.4,239
3,10.2,277
3.6,12.2,286
4.8,14.2,327
2.7,9.2,212
2.7,9.9,228
3.4,9.5,218
3.4,10.7,246
3.4,9.8,225
3.4,10.4,239
3,12.2,281
3.6,12.3,283
3.6,10.9,251
3.6,11.1,255
3,11.4,262
3,11.5,264
4.8,12.7,292
3,11.4,262
4.8,12.8,294
4.8,12.9,297
4.8,12.8,294
4.8,12.9,297
3.6,11.9,274
3.6,11.9,274
3.6,16.8,269
3.6,11.3,260
5.7,14.8,340
5.7,13.6,313
3,10.1,273
3,9.8,265
3.6,12.6,290
3.6,12.6,290
3.6,17.8,285
5.7,15.4,354
5.7,14.1,324
3,10.6,286
3.6,11.4,262
3.6,15.9,254
2.4,9.8,225
6.6,16.1,370
6.6,16.1,370
6.7,17.2,396
6.7,17.2,396
6.7,17.2,396
6.7,17.2,396
6.6,15.6,359
2,8.4,193
2,9.6,221
1.3,6.4,147
2.5,9,207
2.5,9,207
2.4,9.8,225
2.4,9.8,225
1,6.5,150
1,6.5,150
2,8.4,193
2,9.6,221
2,9.4,216
2.5,8.7,200
2.5,9.6,221
2,7.6,175
2,8.4,193
2,7.6,175
2,8.4,193
2.5,7.9,182
2.5,9.4,216
3.6,10.2,235
2.5,8.3,191
2.5,9.7,223
3.6,10.5,242
2,11.1,255
2,9.8,225
2.5,12.2,281
2,8.1,186
2,9.1,209
2,7.5,173
4,12.8,294
4,12.8,294
3.5,9.6,221
2.5,8.4,193
3.5,9.5,218
2.5,5.7,131
2.5,5.9,136
1.8,7.6,175
1.8,7.1,163
1.8,7.3,168
1.8,7.4,170
1.8,6.8,156
1.8,6.9,159
2.7,10.7,246
3.5,11.1,255
3.5,11.6,267
3.5,8.5,196
3.5,8.4,193
1.8,4.7,108
1.5,4.8,110
1.8,5.6,129
2.5,8.9,205
2.5,9.5,218
2.5,8.9,205
2.5,9.6,221
5.7,16.6,382
3.5,11.4,262
3.5,12.5,288
2.7,11.2,258
2.7,10.5,242
4,13.1,301
2.7,12.3,283
2.7,12.3,283
4,13.4,308
4,14,322
4.6,14.3,329
5.7,15.2,350
4.6,15.1,347
5.7,16.6,382
2.7,10.4,239
3.5,10.9,251
2.7,10.5,242
3.5,11.3,260
1.5,7.3,168
1.5,7.1,163
1.8,8.5,196
1.8,8.7,200
2,9.1,209
2,9.2,212
2,6.9,183
2,6.9,184
1.8,8.7,200
2,9.4,216
2,9.2,212
2,9.3,214
2,9.6,221
3.6,11.8,271
2,9.5,219
1.8,8.1,186
1.8,8,184
2,6.5,177
2,6.5,178
2,8.5,196
2,8.3,191
1.8,8.2,193
1.8,8.2,189
2,6.7,180
2,6.7,179
1.8,7.9,182
1.8,8,184
2,8.9,205
2,8.4,193
2,6.5,175
2,6.5,176
2,8.8,202
2,8.9,205
1.4,5.3,122
1.8,8.3,191
1.8,8.4,193
2,6.9,185
2,6.7,182
3.6,10.4,239
2,10.5,242
2,11.2,258
2,10.7,246
3.6,12.4,292
3,10.2,277
3,11,253
2,8.4,193
2.5,10.1,232
2,8.9,205
3,11.2,258
2,8.4,193
3,11.2,258
2,8.8,202
2.5,10.3,237
3,11,253
2,8.4,193
2.5,10.1,232
3,11.2,258
3.2,11.5,264
2,8.8,202
2.5,11.4,262
2,9.4,216
3,11.9,274
3.2,11.3,260
2,8.8,202
3,11.9,274
2.4,8.1,189
3.5,11.1,254
3.5,10.7,251
3.5,10.7,249
3.5,10,235
3.5,7.7,180
2.4,8.3,196
3.5,9.6,226
1.8,8.4,197
5.9,15.6,365
6,14.2,332
6,14.8,346
4.7,14.7,343
4.7,15.5,362
4.7,14.7,343
4.7,15.5,362
4.7,14.7,343
4.7,15.5,362
6,16.5,390
1.8,8.7,204
2,8.6,201
2,8.9,208
2,8.9,212
2,9.6,224
2,9.1,214
2,9.9,232
2,9.6,224
2,9.1,214
2,9.8,230
2,9.2,211
3,9.9,232
3,7.8,213
3,9.9,232
3,7.8,213
3,10.5,247
4,10.7,249
3,8.4,224
4,10.9,255
6.3,14.6,344
2,10.3,242
2,10.3,240
2,10.4,244
3,11.4,267
3,9,244
2,8.9,209
4,13.3,313
2,9,211
3,11,257
3,11.7,273
3,11,257
3,11.7,273
3,11.4,266
4,11.3,263
4,11.4,265
4,12.8,300
3,12.2,285
2,9.1,209
2,9.1,209
2,9.5,222
4,13.1,307
6,15.4,360
4,14.4,337
6,16,375
4,14.2,334
6,16.5,388
6.8,17.5,408
2,8.4,197
2,9,211
2,8.8,207
2,8.9,209
2,8.4,197
2,9,211
2,8.8,207
2,6.8,183
2,6.8,183
2,8.9,209
2,8.9,209
2,8.9,209
3,10.2,238
3,9.3,217
3,9.9,231
3,9.3,216
3,10.3,241
2,8.9,211
2,8.4,197
2,9,211
2,8.9,211
2,9,210
2,9.4,221
2,8.9,209
2,8.9,209
3,9.9,232
3,9.9,232
3,10.5,246
3,10.2,238
3,10.2,238
3,10.5,247
3,10.2,238
2,8.9,209
3,7.9,212
3,10.2,238
3,11.2,263
4.4,12.3,288
4.4,12.1,283
3,10.2,238
3,10.2,238
4.4,12.1,283
4.4,12.3,288
4.4,12.1,283
4.4,12.1,283
4.4,12.1,283
3,9.4,219
4.4,12.1,283
3,10.4,244
3,11.1,260
3,9.9,232
3,10.4,245
3,9.9,232
3,10.5,246
3,10.2,238
3,10.2,238
3,12.1,284
3,11.6,271
3,12.1,282
3,11.8,278
3,12.1,284
3,11.6,271
4.4,14.7,344
4.4,13.7,321
4.4,14.7,344
4.4,13.7,321
4.4,14.7,344
4.4,13.7,321
4.4,14.7,344
4.4,13.7,321
2,9.2,215
2,7.9,211
2,9.9,231
3,10.9,257
3,11.3,264
2,10.2,238
3,10.9,257
4.4,14.6,343
3,8.9,233
3,11.5,269
4.4,13.8,322
4.4,14.6,343
3,11.5,269
4.4,13.8,322
2,9.1,212
2,9,211
3,12.1,282
3,12.1,282
3.6,13.4,315
3.6,13.7,323
1.4,8.5,199
1.4,9.2,215
1.4,7.8,182
1.4,8.2,192
2,10.6,248
3.6,11.4,268
3.6,15.8,260
2.4,8.2,193
3.6,11.7,274
3.6,15.8,263
2,9.8,231
2,9.8,230
2.4,8.2,193
2,10.7,252
2,9.8,231
2,9.8,230
2.4,9.6,224
2,9.2,215
2,10.3,240
2.5,9.1,214
3.6,9.9,233
2,9.4,221
3.6,10.5,247
3.6,12.5,293
3.6,12.4,289
2,9.5,222
3,11.2,263
3.6,11,257
2,9.5,221
3.6,9.9,233
2,9.8,229
3.6,10.5,247
3.6,12.5,293
6.2,14.1,332
6.2,13.9,325
3.6,12.3,287
3.6,12.8,300
3.6,11.3,263
3.6,11.6,273
3.6,12.8,302
2,9.3,218
2,9.8,229
3.6,10.6,248
3.6,11.2,261
6.2,11.6,272
6.2,12.1,284
2,9.4,220
2.5,10.5,247
2.5,10.8,253
2.8,9.4,252
3.6,11.3,265
2.5,11.3,265
2.8,10.3,277
3.6,11.9,279
6.2,11.7,275
6.2,11.2,263
6.2,14.3,335
6.2,13.4,313
1.4,6.8,159
1.4,7.1,167
1.4,6.9,160
1.4,7.8,184
1.4,7.8,182
1.8,8.8,207
1.8,8.1,190
1.4,7.7,181
1.4,7.1,167
2.4,9.1,214
3.6,12.1,285
2.4,9.1,214
2.4,13.4,221
2.4,10,235
3.6,12.8,300
2.4,10,235
2.4,14.2,236
6,18.8,441
6,19.8,465
2.5,9.2,215
3.6,10.6,248
3.6,14.5,239
3.6,11.9,272
